Season,Winner,Winner Country,Winner Score,scorer 1,scorer 2,scorer 3,scorer 4,scorer 5,scorer 6,scorer 7,Finalist Score,opponent scorer 1,opponent scorer 2,opponent scorer 3,Finalist,Finalist Country,Venue,Attendance,Best Scorer,Country Scorer,Club Scorer,Goals
1994,Milan, Italy,4,Massero,Massero,Savicevic,Desailly,,,,0,,,,Barcelona, Spain,"Greece Olympic Stadium, Athens",70000,Ronald Koeman,Netherlands,FC Barcelona,8
1995,Ajax, Netherlands,1,Kluivert,,,,,,,0,,,,Milan, Italy,"Austria Ernst-Happel-Stadion, Vienna",49730,George Weah,Liberia,Paris Saint Germain,7
1996,Juventus, Italy,1,Ravanelli,,,,,,,1,Litmanen,,,Ajax, Netherlands,"Italy Stadio Olimpico, Rome",70000,Jari Litmanen,Finland,ajax Amsterdam,9
1997,Borussia Dortmund, Germany,3,Riedle,Riedle,Ricken,,,,,1,del Piero,,,Juventus, Italy,"Germany Olympiastadion, Munich",59000,Milinko PantiÄ‡,Yugoslavia,Atletico Madrid,5
1998,Real Madrid, Spain,1,Mijatovic,,,,,,,0,,,,Juventus, Italy,"Netherlands Amsterdam Arena, Amsterdam",48500,Alessandro Del Piero,Italy,Juventus,10
1999,Manchester United, England,2,Sheringham,Solskjaer,,,,,,1,Basler,,,Bayern Munich, Germany,"Spain Camp Nou, Barcelona",90245,Shevchenko,Ukraine,Dynamo Kiev,8
2000,Real Madrid, Spain,3,Morientes,McManaman,Raul,,,,,0,,,,Valencia, Spain,"France Stade de France, Saint-Denis",80000,Rivaldo,Brazil,FC Barcelone,10
2001,Bayern Munich, Germany,1,Effenberg,,,,,,,1,Mendieta,,,Valencia, Spain,"Italy San Siro, Milan",71500,Raul,Spain,Real Madrid,7
2002,Real Madrid, Spain,2,Raul,Zidane,,,,,,1,Lucio,,,Bayer Leverkusen, Germany,"Scotland Hampden Park, Glasgow",50499,Ruud van Nistelrooy,Netherlands,Manchester United,10
2003,Milan, Italy,0,,,,,,,,0,,,,Juventus, Italy,"England Old Trafford, Manchester",62315,Ruud van Nistelrooy,Netherlands,Manchester United,12
2004,Porto, Portugal,3,Carlos Alberto,Deco,Alenichev,,,,,0,,,,Monaco, France,"Germany Arena AufSchalke, Gelsenkirchen",53053,Fernando Morientes,Spain,AS Monaco,9
2005,Liverpool, England,3,Gerard,Smicer,Alonso,,,,,3,Maldini,Crespo,Crespo,Milan, Italy,"Turkey AtatÃ¼rk Olympic Stadium, Istanbul",69000,Ruud van Nistelrooy,Netherlands,Manchester United,8
2006,Barcelona, Spain,2,Eto'o,Belleti,,,,,,1,Campbell,,,Arsenal, England,"France Stade de France, Saint-Denis",79610,Andriy Shevchenko,Ukraine,AC Milan,9
2007,Milan, Italy,2,Inzaghi,Inzaghi,,,,,,1,Kuyt,,,Liverpool, England,"Greece Olympic Stadium, Athens",63000,Kaka,Brazil,AC Milan,10
2008,Manchester United, England,1,Ronaldo,,,,,,,1,Lampard,,,Chelsea, England,"Russia Luzhniki Stadium, Moscow",67310,Cristiano Ronaldo,Portugal,Manchester United,8
2009,Barcelona, Spain,2,Eto'o,Messi,,,,,,0,,,,Manchester United, England,"Italy Stadio Olimpico, Rome",62467,Lionel Messi,Argentina,FC Barcelona,9
2010,Internazionale, Italy,2,Milito,Milito,,,,,,0,,,,Bayern Munich, Germany,"Spain Santiago BernabÃ©u Stadium, Madrid",73490,Lionel Messi,Argentina,FC Barcelona,8
2011,Barcelona, Spain,3,Pedro,Messi,Villa,,,,,1,Rooney,,,Manchester United, England,"England Wembley Stadium, London",87695,Lionel Messi,Argentina,FC Barcelona,12
2012,Chelsea, England,1,Drogba,,,,,,,1,Muller,,,Bayern Munich, Germany,"Germany Allianz Arena, Munich",62500,Lionel Messi,Argentina,FC Barcelona,14
2013,Bayern Munich, Germany,2,Mandzukic,Robben,,,,,,1,Gundogan,,,Borussia Dortmund, Germany,"England Wembley Stadium, London",86298,Cristiano Ronaldo,Portugal,Real Madrid,12
2014,Real Madrid, Spain,4,Ramos,Bale,Marcelo,Ronaldo,,,,1,Godin,,,AtlÃ©tico Madrid, Spain,"Portugal EstÃ¡dio da Luz, Lisbon",60976,Cristiano Ronaldo,Portugal,Real Madrid,17
2015,Barcelona, Spain,3,Rakiric,Suarez,Neymar,,,,,1,Morata,,,Juventus, Italy,"Germany Olympiastadion, Berlin",70442,Cristiano Ronaldo,Portugal,Real Madrid,10
2016,Real Madrid, Spain,1,Ramos,,,,,,,1,Carrasco,,,AtlÃ©tico Madrid, Spain,"Italy San Siro, Milan",71942,Cristiano Ronaldo,Portugal,Real Madrid,16
2017,Real Madrid, Spain,4,Ronaldo,Casemiro,Ronaldo,Asensio,,,,1,Mandzukic,,,Juventus, Italy,"Wales Millennium Stadium, Cardiff",65842,Cristiano Ronaldo,Portugal,Real Madrid,12
2018,Real Madrid, Spain,3,,,,,,,,1,,,,Liverpool FC,England,"Stade olympique, Kiev",61561,Cristiano Ronaldo,Portugal,Real Madrid,15
