Season,Winner,Winner Country,Winner Score,scorer 1,scorer 2,scorer 3,scorer 4,scorer 5,scorer 6,scorer 7,Finalist Score,opponent scorer 1,opponent scorer 2,opponent scorer 3,Finalist,Finalist Country,Venue,Attendance,Meilleur Buteur,Pays buteur,Club buteur,buts
1989–90,Milan, Italy,1,Rijkaard,,,,,,,0,,,,Benfica, Portugal,"Austria Prater Stadium, Vienna","57,558",Jean-Pierre Papin,France,Olympic Marseille,6
1990–91,Red Star Belgrade, Yugoslavia,0,,,,,,,,0,,,,Marseille, France,"Italy Stadio San Nicola, Bari","56,000",Jean-Pierre Papin,France,Olympic Marseille,6
1991–92,Barcelona, Spain,1,Koeman,,,,,,,0,,,,Sampdoria, Italy,"England Wembley Stadium, London","70,827",Jean-Pierre Papin,France,Olympic Marseille,7
1992–93,Marseille, France,1,Boli,,,,,,,0,,,,Milan, Italy,"Germany Olympiastadion, Munich","64,400",Romario,Brazil,PSV Eindhoven,7
1993–94,Milan, Italy,4,Massero,Massero,Savicevic,Desailly,,,,0,,,,Barcelona, Spain,"Greece Olympic Stadium, Athens","70,000",Ronald Koeman,Netherlands,FC Barcelona,8
1994–95,Ajax, Netherlands,1,Kluivert,,,,,,,0,,,,Milan, Italy,"Austria Ernst-Happel-Stadion, Vienna","49,730",George Weah,Liberia,Paris Saint Germain,7
1995–96,Juventus, Italy,1,Ravanelli,,,,,,,1,Litmanen,,,Ajax, Netherlands,"Italy Stadio Olimpico, Rome","70,000",Jari Litmanen,Finland,ajax Amsterdam,9
1996–97,Borussia Dortmund, Germany,3,Riedle,Riedle,Ricken,,,,,1,del Piero,,,Juventus, Italy,"Germany Olympiastadion, Munich","59,000",Milinko Pantić,Yugoslavia,Atletico Madrid,5
1997–98,Real Madrid, Spain,1,Mijatovic,,,,,,,0,,,,Juventus, Italy,"Netherlands Amsterdam Arena, Amsterdam","48,500",Alessandro Del Piero,Italy,Juventus,10
1998–99,Manchester United, England,2,Sheringham,Solskjaer,,,,,,1,Basler,,,Bayern Munich, Germany,"Spain Camp Nou, Barcelona","90,245",Shevchenko,Ukraine,Dynamo Kiev,8
1999–2000,Real Madrid, Spain,3,Morientes,McManaman,Raul,,,,,0,,,,Valencia, Spain,"France Stade de France, Saint-Denis","80,000",Rivaldo,Brazil,FC Barcelone,10
2000–01,Bayern Munich, Germany,1,Effenberg,,,,,,,1,Mendieta,,,Valencia, Spain,"Italy San Siro, Milan","71,500",Raul,Spain,Real Madrid,7
2001–02,Real Madrid, Spain,2,Raul,Zidane,,,,,,1,Lucio,,,Bayer Leverkusen, Germany,"Scotland Hampden Park, Glasgow","50,499",Ruud van Nistelrooy,Netherlands,Manchester United,10
2002–03,Milan, Italy,0,,,,,,,,0,,,,Juventus, Italy,"England Old Trafford, Manchester","62,315",Ruud van Nistelrooy,Netherlands,Manchester United,12
2003–04,Porto, Portugal,3,Carlos Alberto,Deco,Alenichev,,,,,0,,,,Monaco, France,"Germany Arena AufSchalke, Gelsenkirchen","53,053",Fernando Morientes,Spain,AS Monaco,9
2004–05,Liverpool, England,3,Gerard,Smicer,Alonso,,,,,3,Maldini,Crespo,Crespo,Milan, Italy,"Turkey Atatürk Olympic Stadium, Istanbul","69,000",Ruud van Nistelrooy,Netherlands,Manchester United,8
2005–06,Barcelona, Spain,2,Eto'o,Belleti,,,,,,1,Campbell,,,Arsenal, England,"France Stade de France, Saint-Denis","79,610",Andriy Shevchenko,Ukraine,AC Milan,9
2006–07,Milan, Italy,2,Inzaghi,Inzaghi,,,,,,1,Kuyt,,,Liverpool, England,"Greece Olympic Stadium, Athens","63,000",Kaka,Brazil,AC Milan,10
2007–08,Manchester United, England,1,Ronaldo,,,,,,,1,Lampard,,,Chelsea, England,"Russia Luzhniki Stadium, Moscow","67,310",Cristiano Ronaldo,Portugal,Manchester United,8
2008–09,Barcelona, Spain,2,Eto'o,Messi,,,,,,0,,,,Manchester United, England,"Italy Stadio Olimpico, Rome","62,467",Lionel Messi,Argentina,FC Barcelona,9
2009–10,Internazionale, Italy,2,Milito,Milito,,,,,,0,,,,Bayern Munich, Germany,"Spain Santiago Bernabéu Stadium, Madrid","73,490",Lionel Messi,Argentina,FC Barcelona,8
2010–11,Barcelona, Spain,3,Pedro,Messi,Villa,,,,,1,Rooney,,,Manchester United, England,"England Wembley Stadium, London","87,695",Lionel Messi,Argentina,FC Barcelona,12
2011–12,Chelsea, England,1,Drogba,,,,,,,1,Muller,,,Bayern Munich, Germany,"Germany Allianz Arena, Munich","62,500",Lionel Messi,Argentina,FC Barcelona,14
