Rank,Player,Club,Nationality,Points,Percent,Season,Winner,Winner Country,Winner Score,Finalist Score,Finalist,Finalist Country,Venue,Attendance,Meilleur Buteur,Pays buteur,Club buteur,buts
10,Bobby Moore,West Ham United,England,7,0.0538,1971,Ajax,Netherlands,2,0,Panathinaikos,Greece,"England Wembley Stadium, London","83,179",Antonis Antoniadis,Greece,Panathinaikos,10
10,Ferenc Bene,Ujpest Dozsa,Hungary,7,0.0538,1971,Ajax,Netherlands,2,0,Panathinaikos,Greece,"England Wembley Stadium, London","83,179",Antonis Antoniadis,Greece,Panathinaikos,10
12,Yevgeniy Rudakov,Dynamo Kyiv,Soviet Union,6,0.0462,1971,Ajax,Netherlands,2,0,Panathinaikos,Greece,"England Wembley Stadium, London","83,179",Antonis Antoniadis,Greece,Panathinaikos,10
13,Giacinto Facchetti,Internazionale,Italy,4,0.0308,1971,Ajax,Netherlands,2,0,Panathinaikos,Greece,"England Wembley Stadium, London","83,179",Antonis Antoniadis,Greece,Panathinaikos,10
13,Mimis Domazos,Panathinaikos,Greece,4,0.0308,1971,Ajax,Netherlands,2,0,Panathinaikos,Greece,"England Wembley Stadium, London","83,179",Antonis Antoniadis,Greece,Panathinaikos,10
15,Pirri,Real Madrid CF,Spain,3,0.0231,1971,Ajax,Netherlands,2,0,Panathinaikos,Greece,"England Wembley Stadium, London","83,179",Antonis Antoniadis,Greece,Panathinaikos,10
15,Dragan Džajić,Red Star Belgrade,Yugoslavia,3,0.0231,1971,Ajax,Netherlands,2,0,Panathinaikos,Greece,"England Wembley Stadium, London","83,179",Antonis Antoniadis,Greece,Panathinaikos,10
15,Berti Vogts,Borussia Mönchengladbach,West Germany,3,0.0231,1971,Ajax,Netherlands,2,0,Panathinaikos,Greece,"England Wembley Stadium, London","83,179",Antonis Antoniadis,Greece,Panathinaikos,10
18,Terry Cooper,Leeds United,England,2,0.0154,1971,Ajax,Netherlands,2,0,Panathinaikos,Greece,"England Wembley Stadium, London","83,179",Antonis Antoniadis,Greece,Panathinaikos,10
18,Francis Lee,Manchester City,England,2,0.0154,1971,Ajax,Netherlands,2,0,Panathinaikos,Greece,"England Wembley Stadium, London","83,179",Antonis Antoniadis,Greece,Panathinaikos,10
18,Wolfgang Overath,Internazionale,West Germany,2,0.0154,1971,Ajax,Netherlands,2,0,Panathinaikos,Greece,"England Wembley Stadium, London","83,179",Antonis Antoniadis,Greece,Panathinaikos,10
18,Wilfried Van Moer,Standard Liège,Belgium,2,0.0154,1971,Ajax,Netherlands,2,0,Panathinaikos,Greece,"England Wembley Stadium, London","83,179",Antonis Antoniadis,Greece,Panathinaikos,10
22,Bobby Charlton,Manchester United,England,1,0.0077,1971,Ajax,Netherlands,2,0,Panathinaikos,Greece,"England Wembley Stadium, London","83,179",Antonis Antoniadis,Greece,Panathinaikos,10
22,Albert Shesternyov,CSKA Moscow,Soviet Union,1,0.0077,1971,Ajax,Netherlands,2,0,Panathinaikos,Greece,"England Wembley Stadium, London","83,179",Antonis Antoniadis,Greece,Panathinaikos,10
1,Franz Beckenbauer,Bayern Munich,West Germany,81,0.648,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
2,Gerd Müller,Bayern Munich,West Germany,79,0.632,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
2,Günter Netzer,Borussia Mönchengladbach,West Germany,79,0.632,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
4,Johan Cruijff,Ajax,Netherlands,73,0.584,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
5,Piet Keizer,Ajax,Netherlands,13,0.104,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
6,Kazimierz Deyna,Legia Warsaw,Poland,6,0.048,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
7,Gordon Banks,Stoke City,England,4,0.032,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
7,Barry Hulshoff,Ajax,Netherlands,4,0.032,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
7,Włodzimierz Lubański,Górnik Zabrze,Poland,4,0.032,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
7,Bobby Moore,West Ham United,England,4,0.032,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
11,Hristo Bonev,Lokomotiv Plovdiv,Bulgaria,3,0.024,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
11,Murtaz Khurtsilava,Dinamo Tbilisi,Soviet Union,3,0.024,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
11,Gerrie Mühren,Ajax,Netherlands,3,0.024,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
11,Paul Van Himst,Anderlecht,Belgium,3,0.024,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
15,Antal Dunai,Ujpest Dozsa,Hungary,2,0.016,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
15,Eusébio,Benfica,Portugal,2,0.016,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
15,Alessandro Mazzola,Internazionale,Italy,2,0.016,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
18,Amancio Amaro,Real Madrid CF,Spain,1,0.008,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
18,Paul Breitner,Bayern Munich,West Germany,1,0.008,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
18,Giorgio Chinaglia,Lazio,Italy,1,0.008,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
18,Dragan Džajić,Red Star Belgrade,Yugoslavia,1,0.008,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
18,Johnny Giles,Leeds United,Ireland,1,0.008,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
18,John Greig,Glasgow Rangers,Scotland,1,0.008,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
18,Johan Neeskens,Ajax,Netherlands,1,0.008,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
18,Gianni Rivera,Milan,Italy,1,0.008,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
18,Yevgeniy Rudakov,Dynamo Kyiv,Soviet Union,1,0.008,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
18,Marius Trésor,Olympique Marseille,France,1,0.008,1972,Ajax,Netherlands,2,0,Internazionale,Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
1,Johan Cruijff,FC Barcelona,Netherlands,96,0.8,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
2,Dino Zoff,Juventus,Italy,47,0.3917,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
3,Gerd Müller,Bayern Munich,West Germany,44,0.3667,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
4,Franz Beckenbauer,Bayern Munich,West Germany,30,0.25,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
5,Billy Bremner,Leeds United,Scotland,22,0.1833,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
6,Kazimierz Deyna,Legia Warsaw,Poland,16,0.1333,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
7,Eusébio,Benfica,Portugal,14,0.1167,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
8,Gianni Rivera,Milan,Italy,12,0.1,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
9,Günter Netzer,Real Madrid CF,Germany,11,0.0917,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
9,Ralf Edström,PSV Eindhoven,Sweden,11,0.0917,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
11,Uli Hoeneß,Bayern Munich,West Germany,8,0.0667,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
12,Giacinto Facchetti,Internazionale,Italy,7,0.0583,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
12,Hristo Bonev,Lokomotiv Plovdiv,Bulgaria,7,0.0583,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
14,Juan Manuel Asensi,FC Barcelona,Spain,5,0.0417,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
14,Sandro Mazzola,Internazionale,Italy,5,0.0417,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
14,Jan Tomaszewski,ŁKS Łódź,Poland,5,0.0417,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
17,Włodzimierz Lubański,Górnik Zabrze,Poland,4,0.0333,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
18,Wolfgang Overath,1. FC Köln,West Germany,3,0.025,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
19,Barry Hulshoff,Ajax,Netherlands,2,0.0167,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
19,Hans-Jürgen Kreische,Dynamo Dresden,Germany (East),2,0.0167,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
19,Bobby Moore,West Ham United,England,2,0.0167,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
19,Roland Sandberg,1. FC Kaiserslautern,Sweden,2,0.0167,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
23,Pat Jennings,Tottenham Hotspur,Northern Ireland,1,0.0083,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
23,Vladislav Bogićević,Crvena Zvezda,Yugoslavia,1,0.0083,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
23,Ivo Viktor,Dukla Praha,Czechoslovakia,1,0.0083,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
23,Dragan Džajić,Crvena Zvezda,Yugoslavia,1,0.0083,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
23,Denis Law,Manchester City,Scotland,1,0.0083,1973,Ajax,Netherlands,1,0,Juventus,Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
1,Johan Cruijff,FC Barcelona,Netherlands,116,0.8923,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
2,Franz Beckenbauer,Bayern Munich,West Germany,105,0.8077,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
3,Kazimierz Deyna,Legia Warsaw,Poland,35,0.2692,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
4,Paul Breitner,Bayern Munich,West Germany,32,0.2462,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
5,Johan Neeskens,FC Barcelona,Netherlands,21,0.1615,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
6,Grzegorz Lato,Stal Mielec,Poland,16,0.1231,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
7,Gerd Müller,Bayern Munich,West Germany,14,0.1077,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
8,Robert Gadocha,Legia Warsaw,Poland,11,0.0846,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
9,Billy Bremner,Leeds United,Scotland,9,0.0692,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
10,Ralf Edström,PSV Eindhoven,Sweden,4,0.0308,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
10,Jürgen Sparwasser,Magdeburg,Germany (East),4,0.0308,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
10,Berti Vogts,Borussia Mönchengladbach,West Germany,4,0.0308,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
13,Ronnie Hellström,Kaiserslautern,Sweden,3,0.0231,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
13,Jan Tomaszewski,ŁKS Łódź,Poland,3,0.0231,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
15,José Altafini,Juventus,Italy,2,0.0154,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
15,Hristo Bonev,Lokomotiv Plovdiv,Bulgaria,2,0.0154,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
15,Jerzy Gorgoń,Górnik Zabrze,Poland,2,0.0154,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
15,Sepp Maier,Bayern Munich,West Germany,2,0.0154,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
19,Oleg Blokhin,Dynamo Kyiv,Soviet Union,1,0.0077,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
19,Rainer Bonhof,Borussia Mönchengladbach,West Germany,1,0.0077,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
19,Jean-Marc Guillou,Angers,France,1,0.0077,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
19,Uli Hoeneß,Bayern Munich,West Germany,1,0.0077,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
19,Branko Oblak,Hajduk Split,Yugoslavia,1,0.0077,1974,Bayern Munich,West Germany,4,0,Atlético Madrid,Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
1,Oleg Blokhin,Dynamo Kyiv,Soviet Union,122,0.9385,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
2,Franz Beckenbauer,Bayern Munich,West Germany,42,0.3231,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
3,Johan Cruijff,FC Barcelona,Netherlands,27,0.2077,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
4,Berti Vogts,Borussia Mönchengladbach,West Germany,25,0.1923,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
5,Sepp Maier,Bayern Munich,West Germany,20,0.1538,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
6,Ruud Geels,Ajax,Netherlands,18,0.1385,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
7,Jupp Heynckes,Borussia Mönchengladbach,West Germany,17,0.1308,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
8,Paul Breitner,Real Madrid CF,West Germany,14,0.1077,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
9,Colin Todd,Derby County,England,12,0.0923,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
10,Dudu Georgescu,Dinamo București,Romania,11,0.0846,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
11,Peter Lorimer,Leeds United,Scotland,9,0.0692,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
11,Branko Oblak,Real Madrid CF,Yugoslavia,9,0.0692,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
11,Pirri,Schalke 04,Spain,9,0.0692,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
14,Ralf Edström,Real Madrid CF,Sweden,6,0.0462,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
14,Günter Netzer,Juventus,West Germany,6,0.0462,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
14,Dino Zoff,PSV Eindhoven,Italy,6,0.0462,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
17,Hristo Bonev,Lokomotiv Plovdiv,Bulgaria,4,0.0308,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
17,Josip Katalinski,Stal Mielec,Yugoslavia,4,0.0308,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
17,Grzegorz Lato,Bayern Munich,Poland,4,0.0308,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
17,Gerd Müller,Dukla Praha,West Germany,4,0.0308,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
17,Ivo Viktor,OGC Nice,Czechoslovakia,4,0.0308,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
22,Ján Pivarník,Slovan Bratislava,Czechoslovakia,3,0.0231,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
23,Leonid Buryak,Dynamo Kyiv,Soviet Union,2,0.0154,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
23,Jürgen Croy,Sachsenring Zwickau,Germany (East),2,0.0154,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
23,Johan Neeskens,FC Barcelona,Netherlands,2,0.0154,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
23,Jean-Marc Guillou,OGC Nice,France,2,0.0154,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
27,João Resende Alves,Boavista,Portugal,1,0.0077,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
27,Dragan Džajić,Bastia,Yugoslavia,1,0.0077,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
27,Giacinto Facchetti,Internazionale,Italy,1,0.0077,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
27,Don Givens,Queen's Park Rangers,Ireland,1,0.0077,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
27,Pat Jennings,Tottenham Hotspur,Northern Ireland,1,0.0077,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
27,Allan Simonsen,Borussia Mönchengladbach,Denmark,1,0.0077,1975,Bayern Munich,West Germany,2,0,Leeds United,England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
1,Franz Beckenbauer,Bayern Munich,West Germany,91,0.7,1976,Bayern Munich,West Germany,1,0,Saint-Étienne,France,"Scotland Hampden Park, Glasgow","54,864",Jupp Heynckes,West Germany,Borussia Mönchengladbach,6
2,Rob Rensenbrink,Anderlecht,Netherlands,75,0.5769,1976,Bayern Munich,West Germany,1,0,Saint-Étienne,France,"Scotland Hampden Park, Glasgow","54,864",Jupp Heynckes,West Germany,Borussia Mönchengladbach,6
3,Ivo Viktor,Dukla Praha,Czechoslovakia,52,0.4,1976,Bayern Munich,West Germany,1,0,Saint-Étienne,France,"Scotland Hampden Park, Glasgow","54,864",Jupp Heynckes,West Germany,Borussia Mönchengladbach,6
4,Kevin Keegan,Liverpool,England,32,0.2462,1976,Bayern Munich,West Germany,1,0,Saint-Étienne,France,"Scotland Hampden Park, Glasgow","54,864",Jupp Heynckes,West Germany,Borussia Mönchengladbach,6
5,Michel Platini,AS Nancy,France,19,0.1462,1976,Bayern Munich,West Germany,1,0,Saint-Étienne,France,"Scotland Hampden Park, Glasgow","54,864",Jupp Heynckes,West Germany,Borussia Mönchengladbach,6
